_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1224,2020-12-17T00:00:00,VN,Hồ Chí Minh,humidity,24,47.5,85.5,74,1593.41
1225,2020-03-02T00:00:00,VN,Hạ Long,pressure,8,1001.5,1005.6,1003.3,16.26
1226,2020-11-03T00:00:00,VN,Hồ Chí Minh,humidity,24,52,88,66,1526.72
1227,2020-04-22T00:00:00,VN,Hạ Long,pressure,7,996.4,1001.5,997.7,33.07
1228,2020-12-03T00:00:00,VN,Hồ Chí Minh,humidity,24,34,78,56,2192.32
1229,2020-04-28T00:00:00,VN,Hạ Long,pressure,8,1001,1004.6,1003.2,17.73
1230,2020-03-27T00:00:00,VN,Hồ Chí Minh,humidity,24,45,88,72,2090.63
1231,2020-01-05T00:00:00,VN,Hạ Long,pressure,8,996.8,1000,997.8,12.64
1232,2020-09-28T00:00:00,VN,Hồ Chí Minh,humidity,24,74,100,85.5,762.71
1233,2020-12-12T00:00:00,VN,Hạ Long,pressure,8,998.2,1003.1,999.8,28.63
1234,2021-08-01T00:00:00,VN,Hồ Chí Minh,humidity,24,46,94,73.5,2605.1
1235,2020-11-15T00:00:00,VN,Hạ Long,pressure,8,1001.8,1005.6,1003.2,15.2
1236,2020-03-26T00:00:00,VN,Hồ Chí Minh,humidity,24,42,83,69.5,2803.19
1237,2020-06-13T00:00:00,VN,Hồ Chí Minh,humidity,23,54.5,100,88,2226.25
1238,2020-11-03T00:00:00,VN,Hạ Long,pressure,8,998.7,1003.8,1000.6,29.66
1239,2020-03-15T00:00:00,VN,Hạ Long,pressure,8,1001.2,1006.3,1003.4,27.31
1240,2020-07-18T00:00:00,VN,Hồ Chí Minh,humidity,24,64,97,83.5,832.28
1241,2020-10-19T00:00:00,VN,Hồ Chí Minh,humidity,24,64,100,85.5,1345.92
1242,2020-04-16T00:00:00,VN,Hạ Long,pressure,8,996.1,1000.3,998,19.26
1243,2020-10-23T00:00:00,VN,Hồ Chí Minh,humidity,24,55,88,76,1444.33
